CalculationName	AlloyChemistry	T	phase_name	#phases	x(AL)	x(AG)	G	H	S	Cp	f(@FCC_A1)	f(@HCP_A3)	f(@CUB_A13)	f(@LIQUID)	f(@BCC_A2)
		K			%	%	J/mole			J/(mole K)	mole/mole	mole/mole	mole/mole		
Point Calculation	0AG+100AL in x%	200	FCC_A1	##1	100		-6090.519436	-2272.361377	19.09079029	21.62709822	1				
Point Calculation_1	2AG+98AL in x%	200	FCC_A1+HCP_A3	##2	98	2	-6362.52606	-2424.525475	19.69000292	21.6997318	0.9687101075	0.03128989246			
Point Calculation_2	4AG+96AL in x%	200	FCC_A1+HCP_A3	##2	96	4	-6634.532566	-2576.69169	20.28920438	21.77236535	0.9374201014	0.06257989864			
Point Calculation_3	6AG+94AL in x%	200	FCC_A1+HCP_A3	##2	94	6	-6906.539053	-2728.857893	20.8884058	21.84499894	0.9061300973	0.09386990271			
Point Calculation_4	8AG+92AL in x%	200	FCC_A1+HCP_A3	##2	92	8	-7178.545509	-2881.024079	21.48760715	21.91763245	0.8748400968	0.1251599032			
Point Calculation_5	10AG+90AL in x%	200	FCC_A1+HCP_A3	##2	90	10	-7450.551917	-3033.190239	22.08680839	21.99026605	0.8435501019	0.1564498981			
Point Calculation_6	12AG+88AL in x%	200	FCC_A1+HCP_A3	##2	88	12	-7722.55826	-3185.356362	22.68600949	22.06289953	0.8122601145	0.1877398855			
Point Calculation_7	14AG+86AL in x%	200	FCC_A1+HCP_A3	##2	86	14	-7994.565179	-3337.522807	23.28521186	22.13553323	0.7809700608	0.2190299392			
Point Calculation_8	16AG+84AL in x%	200	FCC_A1+HCP_A3	##2	84	16	-8266.570605	-3489.688417	23.88441094	22.20816653	0.7496801788	0.2503198212			
Point Calculation_9	18AG+82AL in x%	200	FCC_A1+HCP_A3	##2	82	18	-8538.578194	-3641.855237	24.48361478	22.28080038	0.7183900481	0.2816099519			
Point Calculation_10	20AG+80AL in x%	200	FCC_A1+HCP_A3	##2	80	20	-8810.584722	-3794.021463	25.08281629	22.353434	0.6871000393	0.3128999607			
Point Calculation_11	22AG+78AL in x%	200	FCC_A1+HCP_A3	##2	78	22	-9082.591239	-3946.187684	25.68201778	22.42606756	0.6558100319	0.3441899681			
Point Calculation_12	24AG+76AL in x%	200	FCC_A1+HCP_A3	##2	76	24	-9354.595892	-4098.352861	26.28121515	22.49870061	0.6245202388	0.3754797612			
Point Calculation_13	26AG+74AL in x%	200	FCC_A1+HCP_A3	##2	74	26	-9626.602399	-4250.519076	26.88041662	22.57133416	0.5932302325	0.4067697675			
Point Calculation_14	28AG+72AL in x%	200	FCC_A1+HCP_A3	##2	72	28	-9898.610785	-4402.686342	27.47962222	22.64396825	0.56194001	0.43805999			
Point Calculation_15	30AG+70AL in x%	200	FCC_A1+HCP_A3	##2	70	30	-10170.6173	-4554.852562	28.0788237	22.71660183	0.5306500027	0.4693499973			
Point Calculation_16	32AG+68AL in x%	200	FCC_A1+HCP_A3	##2	68	32	-10442.62382	-4707.018781	28.67802518	22.78923543	0.4993599953	0.5006400047			
Point Calculation_17	34AG+66AL in x%	200	FCC_A1+HCP_A3	##2	66	34	-10714.62799	-4859.183692	29.27722151	22.86186841	0.4680702573	0.5319297427			
Point Calculation_18	36AG+64AL in x%	200	FCC_A1+HCP_A3	##2	64	36	-10986.63671	-5011.351141	29.87642783	22.93450254	0.436779997	0.563220003			
Point Calculation_19	38AG+62AL in x%	200	FCC_A1+HCP_A3	##2	62	38	-11258.64272	-5163.51708	30.47562821	23.00713597	0.4054900474	0.5945099526			
Point Calculation_20	40AG+60AL in x%	200	FCC_A1+HCP_A3	##2	60	40	-11530.64963	-5315.683522	31.07483056	23.0797696	0.3741999944	0.6258000056			
Point Calculation_21	42AG+58AL in x%	200	FCC_A1+HCP_A3	##2	58	42	-11802.65478	-5467.848976	31.67402903	23.15240293	0.3429101446	0.6570898554			
Point Calculation_22	44AG+56AL in x%	200	FCC_A1+HCP_A3	##2	56	44	-12074.66318	-5620.016246	32.27323465	23.22503686	0.3116199211	0.6883800789			
Point Calculation_23	46AG+54AL in x%	200	FCC_A1+HCP_A3	##2	54	46	-12346.66932	-5772.182257	32.8724353	23.29767047	0.2803299567	0.7196700433			
Point Calculation_24	48AG+52AL in x%	200	FCC_A1+HCP_A3	##2	52	48	-12618.67588	-5924.348501	33.47163688	23.37030401	0.2490399444	0.7509600556			
Point Calculation_25	50AG+50AL in x%	200	FCC_A1+HCP_A3	##2	50	50	-12890.68247	-6076.514764	34.07083854	23.44293762	0.217749928	0.782250072			
